,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,7,14.0
1,1.0,19,14.0
2,1.0,5,10.0
3,1.0,20,14.0
4,1.0,26,14.0
5,2.0,34,0.0
6,2.0,28,0.0
7,2.0,4,10.0
8,2.0,13,14.0
9,2.0,29,14.0
10,2.0,31,0.0
11,2.0,3,0.0
12,2.0,33,0.0
13,2.0,25,10.0
14,2.0,12,0.0
15,3.0,5,0.0
16,3.0,23,0.0
17,3.0,10,14.0
18,3.0,24,10.0
19,3.0,18,10.0
20,3.0,21,0.0
21,3.0,38,0.0
22,3.0,8,10.0
23,3.0,28,14.0
24,3.0,14,0.0
25,3.0,34,0.0
26,3.0,31,0.0
27,3.0,9,0.0
28,4.0,32,14.0
29,4.0,16,14.0
30,4.0,8,10.0
31,4.0,9,14.0
32,5.0,26,0.0
33,5.0,31,0.0
34,5.0,24,10.0
35,5.0,40,0.0
36,5.0,13,0.0
37,5.0,25,0.0
38,5.0,8,0.0
39,5.0,7,0.0
40,5.0,14,10.0
41,5.0,30,0.0
42,6.0,37,0.0
43,6.0,11,10.0
44,6.0,3,14.0
45,6.0,16,0.0
46,6.0,7,0.0
47,6.0,8,10.0
48,6.0,21,10.0
49,6.0,38,14.0
50,6.0,36,14.0
51,6.0,15,14.0
52,6.0,-1,0.0
53,6.0,4,10.0
54,6.0,13,0.0
55,7.0,-1,10.0
56,7.0,25,0.0
57,7.0,5,0.0
58,7.0,29,10.0
59,7.0,35,10.0
60,8.0,18,14.0
61,8.0,4,14.0
62,8.0,19,10.0
63,8.0,28,10.0
64,8.0,21,10.0
65,8.0,20,10.0
66,8.0,22,14.0
67,8.0,14,14.0
68,8.0,23,14.0
69,8.0,33,10.0
70,8.0,35,10.0
71,9.0,7,0.0
72,9.0,34,10.0
73,9.0,17,0.0
74,9.0,18,10.0
75,9.0,32,10.0
76,9.0,31,0.0
77,9.0,8,0.0
78,9.0,3,0.0
79,9.0,33,0.0
80,9.0,40,0.0
81,9.0,22,0.0
82,9.0,12,0.0
83,9.0,1,0.0
84,9.0,35,0.0
85,10.0,14,10.0
86,10.0,38,14.0
87,10.0,19,10.0
88,10.0,18,14.0
89,10.0,15,10.0
90,11.0,5,14.0
91,11.0,22,10.0
92,11.0,29,10.0
93,11.0,1,14.0
94,11.0,9,14.0
95,11.0,3,10.0
96,11.0,37,14.0
97,11.0,38,0.0
98,12.0,16,10.0
99,12.0,38,10.0
100,12.0,37,14.0
101,12.0,12,10.0
102,12.0,29,10.0
103,12.0,24,14.0
104,12.0,17,10.0
105,12.0,30,14.0
106,12.0,25,14.0
107,12.0,18,0.0
108,13.0,30,10.0
109,13.0,9,10.0
110,13.0,16,10.0
111,13.0,36,14.0
112,13.0,40,14.0
113,13.0,14,14.0
114,13.0,1,10.0
115,13.0,3,14.0
116,13.0,17,10.0
117,13.0,18,0.0
118,13.0,32,0.0
119,14.0,19,10.0
120,14.0,29,14.0
121,14.0,5,14.0
122,14.0,1,0.0
123,14.0,12,14.0
124,14.0,34,14.0
125,14.0,14,14.0
126,14.0,26,0.0
127,14.0,32,14.0
128,15.0,31,14.0
129,15.0,1,14.0
130,15.0,15,14.0
131,15.0,14,10.0
132,15.0,7,14.0
133,15.0,4,14.0
134,15.0,11,14.0
135,15.0,13,14.0
136,15.0,26,14.0
137,15.0,16,10.0
