,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,1,10.0
1,1.0,32,14.0
2,1.0,29,14.0
3,1.0,25,10.0
4,3.0,30,10.0
5,3.0,9,14.0
6,3.0,19,10.0
7,3.0,34,10.0
8,3.0,22,10.0
9,3.0,3,10.0
10,3.0,24,10.0
11,4.0,9,10.0
12,4.0,19,14.0
13,4.0,1,10.0
14,4.0,29,10.0
15,4.0,11,10.0
16,4.0,6,10.0
17,4.0,17,10.0
18,5.0,31,10.0
19,5.0,19,14.0
20,5.0,10,10.0
21,5.0,20,14.0
22,5.0,7,10.0
23,5.0,25,10.0
24,5.0,12,14.0
25,5.0,-1,10.0
26,6.0,29,10.0
27,6.0,20,14.0
28,6.0,38,10.0
29,6.0,14,14.0
30,6.0,34,14.0
31,7.0,17,14.0
32,7.0,29,10.0
33,7.0,24,10.0
34,7.0,31,10.0
35,7.0,30,10.0
36,7.0,22,14.0
37,8.0,14,10.0
38,8.0,19,14.0
39,9.0,7,10.0
40,9.0,1,10.0
41,9.0,25,14.0
42,9.0,15,14.0
43,9.0,20,14.0
44,9.0,38,10.0
45,9.0,40,14.0
46,10.0,12,0.0
47,10.0,11,14.0
48,10.0,4,10.0
49,10.0,22,10.0
50,10.0,34,0.0
51,11.0,13,0.0
52,11.0,12,0.0
53,11.0,4,10.0
54,11.0,22,10.0
55,11.0,9,10.0
56,11.0,40,14.0
57,11.0,29,14.0
58,11.0,25,14.0
59,12.0,9,14.0
60,12.0,1,10.0
61,12.0,24,10.0
62,13.0,29,10.0
63,13.0,1,10.0
64,13.0,14,14.0
65,13.0,12,10.0
66,13.0,31,10.0
67,14.0,20,0.0
68,14.0,32,14.0
69,14.0,33,14.0
70,14.0,37,14.0
71,14.0,11,14.0
72,14.0,4,10.0
73,15.0,7,0.0
74,15.0,22,10.0
75,15.0,31,14.0
76,15.0,38,10.0
77,15.0,27,10.0
78,16.0,24,10.0
79,16.0,12,10.0
80,16.0,9,10.0
81,16.0,4,14.0
82,16.0,34,10.0
83,16.0,25,14.0
84,16.0,29,14.0
85,16.0,7,10.0
86,16.0,1,10.0
87,17.0,19,0.0
88,17.0,9,14.0
89,17.0,22,14.0
90,17.0,34,14.0
91,17.0,29,14.0
92,17.0,12,10.0
93,17.0,40,14.0
94,17.0,14,14.0
95,17.0,16,10.0
96,18.0,30,14.0
97,18.0,9,10.0
98,18.0,40,14.0
99,19.0,25,10.0
100,19.0,29,10.0
101,19.0,22,14.0
102,19.0,16,10.0
103,19.0,37,10.0
104,19.0,9,14.0
105,19.0,31,14.0
106,19.0,40,10.0
107,20.0,9,14.0
108,20.0,29,0.0
109,20.0,24,10.0
110,20.0,30,10.0
111,20.0,31,0.0
112,20.0,16,0.0
113,20.0,22,0.0
114,21.0,9,0.0
115,21.0,16,0.0
116,21.0,25,10.0
117,21.0,37,14.0
118,21.0,34,10.0
119,22.0,22,0.0
120,22.0,31,10.0
121,22.0,34,0.0
122,22.0,24,0.0
123,22.0,20,14.0
124,22.0,29,10.0
125,22.0,9,10.0
126,22.0,19,14.0
127,22.0,16,0.0
128,23.0,22,10.0
129,23.0,20,14.0
130,23.0,24,10.0
131,23.0,34,10.0
132,23.0,30,10.0
133,24.0,38,0.0
134,24.0,19,0.0
135,24.0,29,0.0
136,24.0,24,10.0
137,24.0,22,0.0
138,24.0,34,10.0
139,24.0,30,14.0
140,25.0,29,0.0
141,25.0,30,0.0
142,25.0,31,10.0
143,25.0,34,0.0
144,25.0,25,0.0
