,D0: Trial,D1: Attackers,D2: Retreat
0,1.0,40,14.0
1,1.0,26,14.0
2,1.0,25,14.0
3,1.0,7,14.0
4,1.0,6,10.0
5,1.0,36,10.0
6,1.0,17,10.0
7,2.0,24,14.0
8,2.0,40,14.0
9,2.0,31,10.0
10,2.0,28,14.0
11,2.0,19,10.0
12,2.0,13,14.0
13,2.0,18,10.0
14,2.0,-1,10.0
15,2.0,38,14.0
16,3.0,28,14.0
17,3.0,19,0.0
18,3.0,25,14.0
19,3.0,38,10.0
20,3.0,34,14.0
21,3.0,18,14.0
22,3.0,24,10.0
23,3.0,8,0.0
24,3.0,20,0.0
25,4.0,13,0.0
26,4.0,38,10.0
27,4.0,3,0.0
28,4.0,7,14.0
29,4.0,39,10.0
30,4.0,10,14.0
31,4.0,20,10.0
32,4.0,21,0.0
33,4.0,25,0.0
34,5.0,4,14.0
35,5.0,40,10.0
36,5.0,15,10.0
37,5.0,24,10.0
38,5.0,19,10.0
39,5.0,13,14.0
40,5.0,7,0.0
41,5.0,28,14.0
42,5.0,35,10.0
43,5.0,5,10.0
44,5.0,26,0.0
45,5.0,18,10.0
46,5.0,10,0.0
47,5.0,38,0.0
48,5.0,6,0.0
49,5.0,20,0.0
50,6.0,18,14.0
51,6.0,22,10.0
52,6.0,26,10.0
53,6.0,-1,14.0
54,6.0,38,14.0
55,6.0,27,10.0
56,6.0,36,10.0
57,6.0,21,10.0
58,6.0,1,0.0
59,6.0,33,0.0
60,6.0,40,0.0
61,7.0,18,0.0
62,7.0,38,14.0
63,7.0,24,10.0
64,7.0,32,14.0
65,7.0,20,10.0
66,7.0,8,10.0
67,7.0,34,0.0
68,7.0,-1,14.0
69,7.0,11,10.0
70,7.0,7,0.0
71,7.0,25,0.0
72,8.0,22,14.0
73,8.0,13,10.0
74,8.0,11,10.0
75,8.0,15,10.0
76,8.0,25,10.0
77,8.0,18,10.0
78,8.0,20,14.0
79,8.0,31,0.0
80,8.0,8,10.0
81,8.0,24,0.0
82,8.0,14,0.0
83,8.0,28,0.0
84,9.0,22,0.0
85,9.0,8,14.0
86,9.0,18,14.0
87,9.0,28,14.0
88,9.0,-1,14.0
89,9.0,26,10.0
90,9.0,5,10.0
91,9.0,19,10.0
92,10.0,13,14.0
93,10.0,36,10.0
94,10.0,29,10.0
95,10.0,24,14.0
96,10.0,22,10.0
97,10.0,8,10.0
98,10.0,40,10.0
99,10.0,12,0.0
100,10.0,20,0.0
101,11.0,24,14.0
102,11.0,18,14.0
103,11.0,26,10.0
104,11.0,37,10.0
105,11.0,27,14.0
106,11.0,9,14.0
107,11.0,35,14.0
108,11.0,13,10.0
109,11.0,33,0.0
110,11.0,31,14.0
111,12.0,13,14.0
112,12.0,31,10.0
113,12.0,27,10.0
114,12.0,34,14.0
115,12.0,8,10.0
116,12.0,25,10.0
117,12.0,24,10.0
118,12.0,31,10.0
119,12.0,33,0.0
120,12.0,14,14.0
121,13.0,28,14.0
122,13.0,7,10.0
123,13.0,40,10.0
124,13.0,24,14.0
125,13.0,35,10.0
126,13.0,25,10.0
127,13.0,33,14.0
128,13.0,36,10.0
129,13.0,13,14.0
130,14.0,29,10.0
131,14.0,28,0.0
132,14.0,26,10.0
133,14.0,34,10.0
134,14.0,31,10.0
135,14.0,18,14.0
136,14.0,14,0.0
137,14.0,40,0.0
138,15.0,28,0.0
139,15.0,40,10.0
140,15.0,8,14.0
141,15.0,25,10.0
142,15.0,22,10.0
143,15.0,18,10.0
144,15.0,38,14.0
145,15.0,31,14.0
146,15.0,30,10.0
147,15.0,20,0.0
148,16.0,11,10.0
149,16.0,18,10.0
150,16.0,38,14.0
151,16.0,26,14.0
152,16.0,13,10.0
153,16.0,36,10.0
154,16.0,37,10.0
155,16.0,30,0.0
156,17.0,35,14.0
157,17.0,30,0.0
158,17.0,14,14.0
159,17.0,7,14.0
160,17.0,28,14.0
161,17.0,26,10.0
162,17.0,30,10.0
163,17.0,19,10.0
164,18.0,24,10.0
165,18.0,35,10.0
166,18.0,8,10.0
167,18.0,22,14.0
168,18.0,13,14.0
169,18.0,38,14.0
170,18.0,9,14.0
171,19.0,35,14.0
172,19.0,13,10.0
173,19.0,31,14.0
174,19.0,22,10.0
175,20.0,22,14.0
176,20.0,40,10.0
177,20.0,13,14.0
178,20.0,25,14.0
179,20.0,36,10.0
180,20.0,33,10.0
181,20.0,-1,10.0
182,20.0,7,10.0
183,21.0,11,10.0
184,21.0,28,14.0
185,21.0,13,10.0
186,21.0,-1,10.0
187,21.0,22,10.0
188,21.0,35,10.0
189,21.0,33,0.0
190,22.0,25,10.0
191,22.0,22,14.0
192,22.0,28,10.0
193,22.0,24,10.0
194,22.0,11,14.0
195,22.0,40,10.0
196,23.0,40,14.0
197,23.0,13,10.0
198,23.0,28,10.0
199,23.0,11,10.0
200,23.0,25,10.0
201,23.0,29,14.0
202,23.0,35,10.0
203,24.0,12,14.0
204,24.0,40,10.0
205,24.0,25,10.0
206,24.0,11,14.0
207,24.0,-1,10.0
