frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attackers,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
18,SCDR,2/9/16,10:53 AM,1,7,GYR,5,0,GYR,G,,H/AN,0,,,, -RB,,,,R,,,NA,1,,
,,,,,,,,,RWG,R,TP-R,H,,,,, -GYR,,,,,,,,,,
,,,,,,,,,RB,R,,AB,,,,, +GYR,,,,,,,,,,
,,,,,,,,,RBY,R,TP-R,T,,,,, +RB,,,,,,,,,,
,,,,,,,,,RR,R,TP-R,W,,,,, -RB,,,,,,,,,,
18,SCDR,2/10/16,9:52 AM,2,35,RB,7,0,RB,R,,H,0,,,, -RB,R,,,,,,,0,,
,,,,,,,,,RG,R,,,,,,, -RWY,R,,,,,,,,,
,,,,,,,,,RWY,R,,L,,,,, +RB,,,,,,,,,,
,,,,,,,,,RY,G,,L,,,,, -GB,,,,,,,,,,
,,,,,,,,,GB,R,TP,,,,,, -RY,G,,,,,,,,,
,,,,,,,,,RBR,R,TP,AB,,,,,,,,,,,,,,,
,,,,,,,,,RBW,R,TP,W,,,,,,,,,,,,,,,
18,SCDR,2/11/16,2:25 PM,3,5,RBY,5,0,RBY,R,TP-R,H,0,,,, -GWY,R,,,UP,,,NA,1,,
,,,,,,,,,RYBl,R,,W,,,,,,,,,,,,,,,
,,,,,,,,,RY,R,TP-UP,L,,,,,,,,,,,,,,,
,,,,,,,,,GWY,G,TP-R,W,,,,,,,,,,,,,,,
,,,,,,,,,GWBl,R,TP-R,H,,,,,,,,,,,,,,,
18,SCDR,2/13/16,11:45 AM,4,17,RR,4,0,RR,R,TP-R,H,5,GB,G,, -RWG,R,,,R,,,NA,1,,
,,,,,,,,,RWY,G,TP-R,L,,RYB,G,,,,,,,,,,,,
