frame ID,TREATMENT,Date,Time,Trial No.,first Attacking Time,First Attacker,No. of Attacker,Time After first Attck*,ID of attackers,Retreat of attacker,Activity**,Attacking part,No of comers,Id of comers,Retreat of comers,Activity,Coming and Going back,Retreat of coming and going back,Activity,Attacking part,Pulling Towards,start time of pulling*,end time pulling,total time for pulling,intensity of pulling ***,Remarks,
13,DC,2/4/16,6:50 PM,1,110,RWG,3,0,RWG,R,TP-R,AN,,,,, -RWG,,,, - ,,,,0,,
,,,,,,,,,GB,R,TP-UP,L,,,,, +RWG,,,,,,,,,,
,,,,,,,,,RWBl,G,TP,L,,,,, -GB,,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWBl,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWBl,,,,,,,,,,
13,DC,2/5/16,2:55 PM,2,90,GWB,2,0,GWB,G,TP-G,H,,,,, -RBl,R,,,TOP,360,,NA,4,,
,,,,,,,,,RBl,R,TP-R,W,,,,,,,,,,,,,,,
13,DC,2/8/16,3:38 PM,3,6,RYR,7,0,RYR,R,,L,,,,, -GWB,,,, - ,,,,0,,
,,,,,,,,,GYB,R,,T/W,,,,, +GWB,,,H,,,,,,,
,,,,,,,,,GWB,G,,,,,,,,,,,,,,,,,
,,,,,,,,,GBY,G,,AN,,,,,,,,,,,,,,,
,,,,,,,,,GY ,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,GYG,R,,AB,,,,,,,,,,,,,,,
,,,,,,,,,RWY,R,TP-R,L,,,,,,,,,,,,,,,
13,DC,2/9/16,3:54 PM,4,56,GYBl,5,0,GYBl,G,TP-G,L/AN,,,,, -RWR,,,,G,,,NA,1,,
,,,,,,,,,RYW,G,,L,,,,, -RYW,,,,,,,,,,
,,,,,,,,,RWR,G,,H,,,,, +RYW,,,AB,,,,,,,
,,,,,,,,,GG,G,TP-G,AB,,,,, +RWR,,,W,,,,,,,
,,,,,,,,,GYG,G,,W,,,,,,,,,,,,,,,
13,DC,2/10/16,2:22 PM,5,37,RWBl,8,0,RWBl,R,TP-R,W,,,,, -GBl,,,,,,,,0,,
,,,,,,,,,RBl,R,TP-R,L,,,,, -GYB,,WEB,,,,,,,,
,,,,,,,,,RBW,R,,W,,,,, +GBl,,,AN,,,,,,,
,,,,,,,,,RWY,R,,L,,,,, +GYB,,,,,,,,,,
,,,,,,,,,GBl,G,,L,,,,, -GBl,R,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,, +GBl,,,H,,,,,,,
,,,,,,,,,GWR,R,TP-R,T ,,,,, -GYB,,WEB,,,,,,,,
,,,,,,,,,GYB,G,,W,,,,, +GYB,,,,,,,,,,
,,,,,,,,,,,,,,,,, -GYB,,WEB,,,,,,,,
13,DC,2/11/16,11:45 AM,6,25,RY,8,0,RY,R,,W,,,,, -GYW,,,,R,,,NA,1,,
,,,,,,,,,RG,G,,GOT STING,,,,, -RY,,,,,,,,,,
,,,,,,,,,GYW,G,,H,,,,, +RY,,,AB,,,,,,,
,,,,,,,,,GWB,G,TP-R,W,,,,, -RY,,,,,,,,,,
,,,,,,,,,RWY,G,,AB,,,,, -GBW,,,,,,,,,,
,,,,,,,,,RR,G,,W,,,,, -RR,,,,,,,,,,
,,,,,,,,,GBW,G,,AB,,,,, +RR,,,AB,,,,,,,
,,,,,,,,,RWBl,R,TP-R,AB,,,,, +GBW,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, +RY,,,AB,,,,,,,
,,,,,,,,,,,,,,,,, -RWBl,R,,,,,,,,,
,,,,,,,,,,,,,,,,, -RWY,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RWY,,,H,,,,,,,
13,DC,2/13/16,3:12 PM,7,152,GWY,6,0,GWY,R,TP-R,L,,,,, -GY,,WEB,,R,,,NA,1,,
,,,,,,,,,GYW,R,TP-R,W,,,,, -GYW,,,,,,,,,,
,,,,,,,,,GW,G,TP-UP,AN,,,,, +GYW,,,AB,,,,,,,
,,,,,,,,,GWB,G,TP-R,AN,,,,, -GWY,,,,,,,,,,
,,,,,,,,,GY ,G,,H,,,,, -GWB,,,,,,,,,,
,,,,,,,,,GYB,G,TP-G,W,,,,, -GW,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GW,,,,,,,,,,
,,,,,,,,,,,,,,,,, +GY ,,,,,,,,,,
13,DC,2/15/16,12:35 PM,8,4,GY,9,0,GY,G,,,5,RYG,G,, -GYBl,,,,G,,,NA,1,,
,,,,,,,,,RWBl,G,,AB,,RR,G,, +GYBl,,,AB,,,,,,,
,,,,,,,,,GYBl,R,,,,GYR,R,, -GBR,,,,,,,,,,
,,,,,,,,,GBY,G,,AB,,RYW,R,, +GBR,,,W,,,,,,,
,,,,,,,,,GBR,,,W,,GWB,R,, -GWY,,,,,,,,,,
,,,,,,,,,GWG,R,,W,,,,, -GYBl,,,,,,,,,,
,,,,,,,,,GYG,G,TP-G,AB,,,,, +GYBl,,,T,,,,,,,
,,,,,,,,,GWY,R,,L,,,,, -GWG,,,,,,,,,,
,,,,,,,,,RWR,R,,H,,,,, +GWG,,,T,,,,,,,
,,,,,,,,,,,,,,,,, -GBR,G,,,,,,,,,
13,DC,2/16/16,2:10 PM,9,7,GB,4,0,GB,G,,H/T,7,GYG,R,, -RWBl,,WEB,, -,,,,0,,
,,,,,,,,,GWG,R,,L/H,,GWY,R,, +RWBl,,,L,,,,,,,
,,,,,,,,,RWBl,R,,W,,GBl,R,, -GBW,,,,,,,,,,
,,,,,,,,,GBW,G,,H,,RYW,G,, +GBW,,,H,,,,,,,
,,,,,,,,,,,,,,RWG,G,, -GBW,,,,,,,,,,
,,,,,,,,,,,,,,RYBl,G,, +GBW,,,W, , ,,,,,
,,,,,,,,,,,,,,GWR,R,, -RYW,,,,,,,,,,
,,,,,,,,,,,,,,,,, +RYW,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,DC,2/17/16,4:00 PM,10,20,RYW,4,0,RYW,R,,L,8,RWG,G,, -RYW,,,, - ,,,,0,,
,,,,,,,,,GBl,G,TP-G,H,,RY,G,, +RYW,,,,,,,,,,
,,,,,,,,,RBW,R,,L,,RYBl,G,, -GYR,R,,,,,,,,,
,,,,,,,,,GYR,G,,AB,,GBG,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RWBl,G,,,,,,,,,,,,
,,,,,,,,,,,,,,RYR,G,,,,,,,,,,,,
